Strip Number,Connector #,Connector Pin #,CE Board #,CEB Channel #,ASIC,ASIC Channel
Z549,2,90,10,125,8,13
U375,2,93,10,126,8,14
Z552,2,96,10,127,8,15
U381,1,1,11,31,2,15
Z565,1,4,11,30,2,14
Z566,1,7,11,29,2,13
U382,1,10,11,28,2,12
Z567,1,13,11,27,2,11
Z568,1,16,11,26,2,10
U383,1,19,11,25,2,9
Z569,1,22,11,24,2,8
Z570,1,25,11,23,2,7
U384,1,28,11,22,2,6
Z571,1,31,11,21,2,5
Z572,1,34,11,20,2,4
Z573,1,37,11,19,2,3
Z574,1,40,11,18,2,2
Z575,1,43,11,17,2,1
Z576,1,46,11,16,2,0
Y639,1,49,11,15,1,15
Y637,1,52,11,14,1,14
Y635,1,55,11,13,1,13
Y633,1,58,11,12,1,12
Y631,1,61,11,11,1,11
Y629,1,64,11,10,1,10
Y627,1,67,11,9,1,9
Y625,1,70,11,8,1,8
Y623,1,73,11,7,1,7
Y621,1,76,11,6,1,6
Y619,1,79,11,5,1,5
Y617,1,82,11,4,1,4
Y615,1,85,11,3,1,3
Y613,1,88,11,2,1,2
Y611,1,91,11,1,1,1
Y609,1,94,11,0,1,0
Z564,1,3,11,48,4,0
Z563,1,6,11,49,4,1
Z562,1,9,11,50,4,2
U380,1,12,11,51,4,3
Z561,1,15,11,52,4,4
Z560,1,18,11,53,4,5
U379,1,21,11,54,4,6
Z559,1,24,11,55,4,7
Z558,1,27,11,56,4,8
U378,1,30,11,57,4,9
Z557,1,33,11,58,4,10
Z556,1,36,11,59,4,11
U377,1,39,11,60,4,12
Z555,1,42,11,61,4,13
Z554,1,45,11,62,4,14
U376,1,48,11,63,4,15
Y640,1,51,11,32,3,0
Y638,1,54,11,33,3,1
Y636,1,57,11,34,3,2
Y634,1,60,11,35,3,3
Y632,1,63,11,36,3,4
Y630,1,66,11,37,3,5
Y628,1,69,11,38,3,6
Y626,1,72,11,39,3,7
Y624,1,75,11,40,3,8
Y622,1,78,11,41,3,9
Y620,1,81,11,42,3,10
Y618,1,84,11,43,3,11
Y616,1,87,11,44,3,12
Y614,1,90,11,45,3,13
Y612,1,93,11,46,3,14
Y610,1,96,11,47,3,15
Y607,2,1,11,79,5,15
Y605,2,4,11,78,5,14
Y603,2,7,11,77,5,13
Y601,2,10,11,76,5,12
Y599,2,13,11,75,5,11
Y597,2,16,11,74,5,10
Y595,2,19,11,73,5,9
Y593,2,22,11,72,5,8
Y591,2,25,11,71,5,7
Y589,2,28,11,70,5,6
Y587,2,31,11,69,5,5
Y585,2,34,11,68,5,4
Y583,2,37,11,67,5,3
Y581,2,40,11,66,5,2
Y579,2,43,11,65,5,1
Y577,2,46,11,64,5,0
Y608,2,3,11,96,7,0
Y606,2,6,11,97,7,1
Y604,2,9,11,98,7,2
Y602,2,12,11,99,7,3
Y600,2,15,11,100,7,4
Y598,2,18,11,101,7,5
Y596,2,21,11,102,7,6
Y594,2,24,11,103,7,7
Y592,2,27,11,104,7,8
Y590,2,30,11,105,7,9
Y588,2,33,11,106,7,10
Y586,2,36,11,107,7,11
Y584,2,39,11,108,7,12
Y582,2,42,11,109,7,13
Y580,2,45,11,110,7,14
Y578,2,48,11,111,7,15
